Univ Federal dos Vales do Jequitinhonha e Mucuri|Universidade Federal dos Vales do Jequitinhonha e Mucuri|Brazil
Univ Federal dos Vales do Jequitinhonha e Mucuri |Universidade Federal dos Vales do Jequitinhonha e Mucuri|Brazil
Univ Federal dos Vales do Jequitinhonha e Mucuri - UFVJM|Universidade Federal dos Vales do Jequitinhonha e Mucuri|Brazil
Univ Federal Fluminense - UFF|Universidade Federal Fluminense|Brazil
Univ Federal Maranhão|Universidade Federal do Maranhão|Brazil
Univ Federal Rural de Pernambuco|Universidade Federal Rural de Pernambuco|Brazil
Univ Federal Rural do Rio de Janeiro|Universidade Federal Rural do Rio de Janeiro|Brazil
Univ Federal Rural do Semi-Ãrido|Universidade Federal Rural do Semi-Árido|Brazil
Univ Federal Rural do Semi-Árido|Universidade Federal Rural do Semi-Árido|Brazil
Univ Filadélfia de Londrina|Centro Universitário Filadélfia|Brazil
Univ Nacional de Jujuy|Universidad Nacional de Jujuy|Argentina
Univ Nove de Julho|Universidade Nove de Julho|Brazil
Univ Nove de Julho - Uninove|Universidade Nove de Julho|Brazil
Univ of Amsterdam|University of Amsterdam|Netherlands
Univ of Campinas - Unicamp|Universidade Estadual de Campinas|Brazil
Univ of São Paulo - USP|Universidade de São Paulo|Brazil
Univ Paulista - Unip|Universidade Paulista|Brazil
Univ Vale do Rio Verde - UninCor|Universidade Vale do Rio Verde|Brazil
Univ. Austral de Chile|Universidad Austral de Chile|Chile
Universidad de Los Andes - NUTA|Universidad de Los Andes|Venezuela
Univ. de Mogi das Cruzes|Universidade de Mogi das Cruzes|Brazil
Univ. de Passo Fundo|Universidade de Passo Fundo|Brazil
Univ. de São Paulo|Universidade de São Paulo|Brazil
Universidad de Los Andes - ULA|Universidad de Los Andes|Venezuela
Univ. do Ceará|Universidade Estadual do Ceará|Brazil
Univ. do Estado de Mato Grosso|Universidade do Estado de Mato Grosso|Brazil
Univ. do Estado de Santa Catarina|Universidade do Estado de Santa Catarina |Brazil
Univ. Est. de Maringá|Universidade Estadual de Maringá|Brazil
Univ. Est. Paulista|Universidade Estadual Paulista|Brazil
Univ. Estácio de Sá|Universidade Estácio de Sá|Brazil
Univ. Estad. Paulista|Universidade Estadual Paulista|Brazil
Univ. Estado de Mato Grosso|Universidade do Estado de Mato Grosso|Brazil
Univ. Estado de São Paulo|Universidade Estadual Paulista|Brazil
Univ. Estadual de Campinas|Universidade Estadual de Campinas|Brazil
Univ. Estadual de Feira de Santana|Universidade Estadual de Feira de Santana|Brazil
Univ. Estadual de Londrina|Universidade Estadual de Londrina |Brazil
Univ. Estadual de Londrina - UEL|Universidade Estadual de Londrina |Brazil
Univ. Estadual de Maringá|Universidade Estadual de Maringá|Brazil
Univ. Estadual de Mato Grosso do Sul|Universidade Estadual de Mato Grosso do Sul|Brazil
Univ. Estadual de Montes Claros|Universidade Estadual de Montes Claros|Brazil
Univ. Estadual de Montes Claros - UNIMONTES|Universidade Estadual de Montes Claros|Brazil
Univ. Estadual do Ceará|Universidade Estadual do Ceará|Brazil
Univ. Estadual do Maranhão|Universidade Estadual do Maranhão|Brazil
Univ. Estadual do Norte Fluminense|Universidade Estadual do Norte Fluminense|Brazil
Univ. Estadual do Norte Fluminense Darcy Ribeiro|Universidade Estadual do Norte Fluminense|Brazil
Univ. Estadual Paulista|Universidade Estadual Paulista|Brazil
Univ. Estadual Paulista - UNESP|Universidade Estadual Paulista|Brazil
Univ. Estadual Paulista â€“ UNESP, São José dos Campos|Universidade Estadual Paulista|Brazil
Univ. Estadual Paulista ââ‚¬â€œ UNESP, São José dos Campos|Universidade Estadual Paulista|Brazil
Univ. Estadual Paulista Julho de Mesquita Filho|Universidade Estadual Paulista|Brazil
Univ. Estadual Paulista Júlio de Mesquita Filho´|Universidade Estadual Paulista|Brazil
Univ. Estadual Paulista  Júlio de Mesquita Filho|Universidade Estadual Paulista|Brazil
Univ. Estadual Paulista, Araraquara|Universidade Estadual Paulista|Brazil
Univ. Estadual Paulista, Faculdade de Engenharia|Universidade Estadual Paulista|Brazil
Univ. Estadual Paulista, Laboratório|Universidade Estadual Paulista|Brazil
Univ. Fed. de Pelotas (UFPEL|Universidade Federal de Pelotas|Brazil
Univ. Fed. de Viçosa|Universidade Federal de Viçosa |Brazil
Univ. Fed. de Viçosa (UFV)|Universidade Federal de Viçosa|Brazil
Univ. Fed. Fluminense|Universidade Federal Fluminense|Brazil
Univ. Fed. Rural de Pernambuco|Universidade Federal Rural de Pernambuco|Brazil
Univ. Fed. Rural do Rio de Janeiro|Universidade Federal Rural do Rio de Janeiro|Brazil
Univ. Fed. Viçosa|Universidade Federal de Viçosa |Brazil
Univ. Federal da Bahia|Universidade Federal da Bahia|Brazil
Univ. Federal da Grande Dourados|Universidade Federal da Grande Dourados|Brazil
Univ. Federal da Paraiba|Universidade Federal da Paraíba|Brazil
Univ. Federal da Paraíba|Universidade Federal da Paraíba|Brazil
Univ. Federal de Alagoas|Universidade Federal de Alagoas|Brazil
Univ. Federal de Campina Grande|Universidade Federal de Campina Grande|Brazil
Univ. Federal de Goiás|Universidade Federal de Goiás|Brazil
Univ. Federal de Itajubá|Universidade Federal de Itajubá|Brazil
Univ. Federal de Juiz de Fora|Universidade Federal de Juiz de Fora|Brazil
Univ. Federal de Juiz de Fora Martelos|Universidade Federal de Juiz de Fora|Brazil
Univ. Federal de Lavras|Universidade Federal de Lavras|Brazil
Univ. Federal de Mato Grosso|Universidade Federal do Mato Grosso|Brazil
Univ. Federal de Mato Grosso do Su|Universidade Federal do Mato Grosso do Sul|Brazil
Univ. Federal de Mato Grosso do Sul|Universidade Federal de Mato Grosso do Sul|Brazil
Univ. Federal de Mato Grosso do Sul - UFMS|Universidade Federal do Mato Grosso do Sul|Brazil
Univ. Federal de Minas Gerais|Universidade Federal de Minas Gerais|Brazil
Univ. Federal de Ouro Preto|Universidade Federal de Ouro Preto|Brazil
Univ. Federal de Pernambuco|Universidade Federal de Pernambuco|Brazil
Univ. Federal de Rio Grande do Sul|Universidade Federal do Rio Grande do Sul|Brazil
Univ. Federal de Rondônia|Universidade Federal de Rondônia|Brazil
Univ. Federal de Roraima|Universidade Federal de Roraima|Brazil
Univ. Federal de Santa Catarina|Universidade Federal de Santa Catarina|Brazil
Univ. Federal de Santa Maria|Universidade Federal de Santa Maria|Brazil
Univ. Federal de São Carlos|Universidade Federal de São Carlos|Brazil
Univ. Federal de São Paulo|Universidade Federal de São Paulo|Brazil
Univ. Federal de Sergipe|Universidade Federal de Sergipe|Brazil
Univ. Federal de Uberlândia|Universidade Federal de Uberlândia|Brazil
Univ. Federal de Uberlândia - UFU|Universidade Federal de Uberlândia|Brazil
Univ. Federal de Viçosa|Universidade Federal de Viçosa|Brazil
Univ. Federal del Amazonas|Universidade Federal do Amazonas|Brazil
Univ. Federal do Acre|Universidade Federal do Acre|Brazil
Univ. Federal do Amapá|Universidade Federal do Amapá|Brazil
Univ. Federal do Amazonas|Universidade Federal do Amazonas|Brazil
Univ. Federal do Ceará|Universidade Federal do Ceará|Brazil
Univ. Federal do Espírito Santo|Universidade Federal do Espírito Santo|Brazil
Univ. Federal do Estado do Rio de Janeiro|Universidade Federal do Estado do Rio de Janeiro|Brazil
Univ. Federal do Maranhão|Universidade Federal do Maranhão|Brazil
Univ. Federal do Mato Grosso|Universidade Federal do Mato Grosso|Brazil
Univ. Federal do Mato Grosso do Sul|Universidade Federal de Mato Grosso do Sul|Brazil
Univ. Federal do Pará|Universidade Federal do Pará|Brazil
Univ. Federal do Paraná|Universidade Federal do Paraná|Brazil
Univ. Federal do Recôncavo da Bahia|Universidade Federal do Recôncavo Baiano|Brazil
Univ. Federal do Rio de Janeiro|Universidade Federal do Rio de Janeiro|Brazil
Univ. Federal do Rio Grande do Norte|Universidade Federal do Rio Grande do Norte|Brazil
Univ. Federal do Rio Grande do Sul|Universidade Federal do Rio Grande do Sul|Brazil
Univ. Federal do Tocantins|Universidade Federal do Tocantins|Brazil
Univ. Federal do Triângulo Mineiro|Universidade Federal do Triângulo Mineiro|Brazil
Univ. Federal Fluminense|Universidade Federal Fluminense|Brazil
Univ. Federal Pernambuco|Universidade Federal de Pernambuco|Brazil
Univ. Federal Rural da AmazÃ´nia|Universidade Federal Rural da Amazônia|Brazil
Univ. Federal Rural da Amazônia|Universidade Federal Rural da Amazônia|Brazil
Univ. Federal Rural de Pernambuco|Universidade Federal Rural de Pernambuco|Brazil
Univ. Federal Rural do Rio de Janeiro|Universidade Federal Rural do Rio de Janeiro|Brazil
Univ. Federal Rural do Rio de Janeiro Seropédica|Universidade Federal Rural do Rio de Janeiro|Brazil
Univ. Federal Rural do Semi-Ãrido|Universidade Federal Rural do Semi-Árido|Brazil
Univ. Federal Rural do Semi-Árido|Universidade Federal Rural do Semi-Árido|Brazil
Univ. Federal Tecnológica do Paraná|Universidade Tecnológica Federal do Paraná|Brazil
Univ. Jorge Tadeo Lozano|Universidad de Bogotá Jorge Tadeo Lozano|Colombia
Univ. Nacional de Jujuy|Universidad Nacional de Jujuy|Argentina
Univ. of Natural. Resources and Applied Life Sciences|Universität für Bodenkultur Wien|Austria
Univ. of Oxford|Oxford University|United Kingdom
Univ. of São Paulo Medical School|Universidade de São Paulo|Brazil
Univ. Pontificia Bolivariana|Pontificia Universidad Bolivariana|Colombia
Univ. Presbiteriana Mackenzie|Universidade Presbiteriana Mackenzie|Brazil
Univ. Regional do Cariri|Universidade Regional do Cariri|Brazil
Univ. São Paulo|Universidade de São Paulo|Brazil
Univ. São Paulo - USP|Universidade de São Paulo|Brazil
Univ. Tecnológica Federal do Paraná|Universidade Tecnológica Federal do Paraná|Brazil
Univ. Técnológica Federal do Paraná|Universidade Tecnológica Federal do Paraná|Brazil
Univ.Federal de Santa Catarina|Universidade Federal de Santa Catarina|Brazil
Univ.Federal de Sergipe|Universidade Federal de Sergipe|Brazil
Univ.Federal do Rio Grande do Sul|Universidade Federal do Rio Grande do Sul|Brazil
Univ.São Paulo|Universidade de São Paulo|Brazil
Univale|Universidade Vale do Rio Doce|Brazil
Univale Governador Valadares|Universidade Vale do Rio Doce|Brazil
Univali - Universidade do Vale do Itajaí|Universidade do Vale do Itajaí|Brazil
UNIVALI - Universidade do Vale do Vale do Itajaí|Universidade do Vale do Itajaí|Brazil
UNIVALI Itajaí|Universidade do Vale do Itajaí|Brazil
UNIVALI/SC|Universidade do Vale do Itajaí|Brazil
UNIVASF/CEAGRO|Universidade Federal do Vale do São Francisco|Brazil
Univcersidade de São Paulo|Universidade de São Paulo|Brazil
Univedsidade Estadual de Londrina|Universidade Estadual de Londrina |Brazil
Univeersidade de São Paulo|Universidade de São Paulo|Brazil
Univeersidade Estadual de São Paulo|Universidade Estadual Paulista|Brazil
Univeersidade Federal de Lavras|Universidade Federal de Lavras|Brazil
Univer Instituto de Oceanografiasidade Federal do Rio Grande|Fundação Universidade Federal do Rio Grande|Brazil
Univer. Estadual Paulista|Universidade Estadual Paulista|Brazil
Univercidade Federal de Lavras|Universidade Federal de Lavras|Brazil
Univerdade do Estado de Santa Catarina|Universidade do Estado de Santa Catarina |Brazil
Univerdade Estadual de Campinas|Universidade Estadual de Campinas|Brazil
Univerdade Federal do Rio Grande do Sul|Universidade Federal do Rio Grande do Sul|Brazil
Univerdiade Federal da Paraíba|Universidade Federal da Paraíba|Brazil
Univerdidade de São Paulo|Universidade de São Paulo|Brazil
Univerdidade Federal de Lavras|Universidade Federal de Lavras|Brazil
UNIVERESIDADE FEDERAL DO CEARA|Universidade Federal do Ceará|Brazil
Univeresidade Federal do Rio Grande do Sul|Universidade Federal do Rio Grande do Sul|Brazil
Univeridad Javeriana|Pontificia Universidad Javeriana|Colombia
Univeridade de São Paulo|Universidade de São Paulo|Brazil
Univeridade Estadual Paulista|Universidade Estadual Paulista|Brazil
Univeridade Estadual Paulista Júlio de Mesquita Filho|Universidade Estadual Paulista|Brazil
Univeridade Federal de Minas Gerais (UFMG)|Universidade Federal de Minas Gerais|Brazil
Univeridade Federal de Santa Maria|Universidade Federal de Santa Maria|Brazil
Univeridade Federal do Mato Grosso|Universidade Federal do Mato Grosso|Brazil
Univeridade Federal do Rio de Janeiro|Universidade Federal do Rio de Janeiro|Brazil
Univeridades Estadual do Norte Fluminense|Universidade Estadual do Norte Fluminense|Brazil
Univerisade Estadual do Norte Fluminense|Universidade Estadual do Norte Fluminense|Brazil
Univerisade Estadual Paulista|Universidade Estadual Paulista|Brazil
Univerisade Federal da Paraíba|Universidade Federal da Paraíba|Brazil
Univerisdade Estadual Paulista|Universidade Estadual Paulista|Brazil
Univerisdade Federal de Pernambuco|Universidade Federal de Pernambuco|Brazil
Univerisdade Federal de Uberlândia|Universidade Federal de Uberlândia|Brazil
Univerisdade Federal do Ceará (UFC)|Universidade Federal do Ceará|Brazil
Univerisdade Federal do Rio de Janeiro|Universidade Federal do Rio de Janeiro|Brazil
Univerisdade Paulista|Universidade Estadual Paulista|Brazil
Univerisidade Estadual de Campinas|Universidade Estadual de Campinas|Brazil
Univerisidade Estadual Paulista|Universidade Estadual Paulista|Brazil
Univerisidade Federal do Rio de Janeiro|Universidade Federal do Rio de Janeiro|Brazil
Univerisidade Paulista|Univerisidade Paulista|Brazil
Univerlidade Estadual de Campinas|Universidade Estadual de Campinas|Brazil
Univers et Théories|Université Paris Diderot-Paris|France
Universadade Federal de São Carlos|Universidade Federal de São Carlos|Brazil
Universade de São Paulo|Universidade de São Paulo|Brazil
Universade Federal do Rio Grande do Sul|Universidade Federal do Rio Grande do Sul|Brazil
Universaidade Federal do Rio Grande do Sul|Universidade Federal do Rio Grande do Sul|Brazil
Universaidade Federal Rural da AmazÃ´nia|Universidade Federal Rural da Amazônia|Brazil
Universaidade Federal Rural da Amazônia|Universidade Federal Rural da Amazônia|Brazil
Universal Love Foundation|Universal Love Foundation|USA
Universal Love Hospital|Universal Love Foundation|USA
Universal Networking Language|Universal Networking Language|USA
Universdad de Puerto Rico|Universidad de Puerto Rico|Puerto Rico
Universdad de Texas|Texas University|USA
Universdad Nacional de Colombia|Universidad Nacional de Colombia|Colombia
Universidad de Los Andes (ULA|Universidad de Los Andes|Venezuela
Universdade de Brasília|Universidade de Brasília|Brazil
Universdade de São Paulo|Universidade de São Paulo|Brazil
Universdade do Paraná|Universidade Federal do Paraná|Brazil
Universdade do Vale do Itajaí|Universidade do Vale do Itajaí|Brazil
Universdade Estadual do Ceará|Universidade Estadual do Ceará|Brazil
Universdade Federal de Santa Maria|Universidade Federal de Santa Maria|Brazil
Universdade Federal do Rio Grande do Sul|Universidade Federal do Rio Grande do Sul|Brazil
Universdiad de Bogotá Jorge Tadeo Lozano|Universidad de Bogotá Jorge Tadeo Lozano|Colombia
Universdiade de São Paulo|Universidade de São Paulo|Brazil
Universdiade Estadual Paulista|Universidade Estadual Paulista|Brazil
Universdidade de São Paulo|Universidade de São Paulo|Brazil
Universdidade Federal do Rio de Janeiro|Universidade Federal do Rio de Janeiro|Brazil
Universiad de Buenos Aires|Universidad de Buenos Aires|Argentina
Universiad de Ciencias Aplicadas y Ambientales - Corporación Tecnológica de Bogotá|Universidad de Ciencias Aplicadas y Ambientales|Colombia
Universiad de Ciencias Aplicadas y Ambientales U.D.C.A|Universidad de Ciencias Aplicadas y Ambientales|Colombia
Universiad de Ciencias Aplicadas y Ambientales U.D.C.A.|Universidad de Ciencias Aplicadas y Ambientales|Colombia
Universiad de Concepción|Universidad de Concepción|Chile
Universiad Nacional de Colombia|Universidad Nacional de Colombia|Colombia
Universidad de los Andes (ULA)|Universidad de Los Andes|Venezuela
Universiadade Estadual Paulista|Universidade Estadual Paulista|Brazil
Universiadade Federal de Viçosa|Universidade Federal de Viçosa|Brazil
Universiade de São Paulo|Universidade de São Paulo|Brazil
Universiade do Estado do Rio de Janeiro|Universidade do Estado do Rio de Janeiro|Brazil
Universiade do Vale do Itajaí|Universidade do Vale do Itajaí|Brazil
Universiade Estadual da Paraíba|Universidade Estadual da Paraíba|Brazil
Universiade Estadual de Campinas|Universidade Estadual de Campinas|Brazil
Universiade Estadual do Ceará|Universidade Estadual do Ceará|Brazil
Universiade Estadual Paulista|Universidade Estadual Paulista|Brazil
Universiade Federal de Lavras|Universidade Federal de Lavras|Brazil
Universiade Federal de Pernambuco|Universidade Federal de Pernambuco|Brazil
Universiade Federal do Rio de Janeiro|Universidade Federal do Rio de Janeiro|Brazil
Universiade Federal do Rio Grande do Sul|Universidade Federal do Rio Grande do Sul|Brazil
Universiade Federal Paulista|Universidade Federal de São Paulo|Brazil
Universiat de Barcelona|Universitat de Barcelona|Spain
Universicada Católica de Nuestra Senora de Asuncion|Universidad Católica Nuestra Señora de la Asunción|Paraguay
Universidad de los Andes / Instituto Nacional del Cáncer|Universidad de Los Andes|
